typL,liczbaL,typS,liczbS,typP,liczbaP,typWrogaL,liczbaWrogaL,typWrogaS,liczbWrogaS,typWrogaP,liczbaWrogaP,wygrana
konnica,99,konnica,147,piechurzy,44,artylerzysci,324,piechurzy,33,konnica,146,0
piechurzy,220,artylerzysci,96,piechurzy,102,konnica,116,piechurzy,167,artylerzysci,46,1
piechurzy,284,artylerzysci,46,artylerzysci,165,konnica,102,konnica,202,konnica,197,0
konnica,162,konnica,64,konnica,88,konnica,10,piechurzy,181,konnica,226,0
artylerzysci,23,konnica,50,artylerzysci,162,artylerzysci,135,artylerzysci,106,artylerzysci,179,0
konnica,268,konnica,14,konnica,2,artylerzysci,328,artylerzysci,93,artylerzysci,135,0
artylerzysci,344,artylerzysci,80,piechurzy,5,konnica,434,artylerzysci,37,artylerzysci,26,0
konnica,183,konnica,32,konnica,52,konnica,394,konnica,56,artylerzysci,28,0
piechurzy,152,piechurzy,63,konnica,37,konnica,269,artylerzysci,232,artylerzysci,51,0
piechurzy,76,piechurzy,182,konnica,25,konnica,276,artylerzysci,114,artylerzysci,84,0
piechurzy,206,konnica,18,artylerzysci,6,piechurzy,221,konnica,27,piechurzy,44,0
piechurzy,147,konnica,164,artylerzysci,61,artylerzysci,199,piechurzy,122,artylerzysci,270,0
artylerzysci,243,konnica,12,piechurzy,12,piechurzy,183,konnica,297,piechurzy,38,0
konnica,149,artylerzysci,63,artylerzysci,50,artylerzysci,286,konnica,108,artylerzysci,88,0
artylerzysci,66,piechurzy,241,artylerzysci,139,piechurzy,19,artylerzysci,474,piechurzy,116,0
konnica,75,piechurzy,84,piechurzy,128,artylerzysci,19,konnica,121,piechurzy,272,0
piechurzy,42,konnica,47,piechurzy,25,konnica,214,artylerzysci,152,konnica,82,0
piechurzy,215,konnica,64,konnica,27,piechurzy,361,piechurzy,11,piechurzy,237,0
konnica,126,konnica,201,piechurzy,9,piechurzy,397,artylerzysci,236,konnica,10,0
artylerzysci,298,konnica,33,artylerzysci,75,piechurzy,363,artylerzysci,107,piechurzy,48,1
konnica,346,piechurzy,2,konnica,4,piechurzy,463,piechurzy,147,konnica,71,1
piechurzy,351,konnica,43,konnica,76,konnica,317,piechurzy,23,artylerzysci,38,0
konnica,332,konnica,2,konnica,5,piechurzy,282,piechurzy,318,artylerzysci,178,1
artylerzysci,132,artylerzysci,150,konnica,28,konnica,235,konnica,66,konnica,162,0
piechurzy,217,konnica,48,piechurzy,102,konnica,452,artylerzysci,37,artylerzysci,10,0
konnica,251,artylerzysci,37,piechurzy,10,piechurzy,207,piechurzy,316,konnica,130,1
artylerzysci,285,konnica,126,piechurzy,3,piechurzy,350,artylerzysci,69,artylerzysci,208,1
piechurzy,199,konnica,124,piechurzy,57,konnica,370,piechurzy,93,artylerzysci,61,0
piechurzy,338,konnica,118,artylerzysci,8,konnica,207,piechurzy,293,piechurzy,92,0
konnica,280,konnica,5,artylerzysci,40,piechurzy,209,piechurzy,15,artylerzysci,56,1
konnica,346,artylerzysci,6,konnica,2,piechurzy,376,piechurzy,148,konnica,108,1
piechurzy,59,artylerzysci,264,konnica,38,artylerzysci,160,piechurzy,62,konnica,23,1
piechurzy,289,piechurzy,199,artylerzysci,30,konnica,375,konnica,99,artylerzysci,26,0
piechurzy,221,konnica,102,artylerzysci,128,artylerzysci,48,konnica,223,konnica,125,0
artylerzysci,74,konnica,77,konnica,153,artylerzysci,406,artylerzysci,195,konnica,22,0
artylerzysci,138,piechurzy,159,konnica,51,konnica,328,konnica,1,artylerzysci,108,0
artylerzysci,204,piechurzy,126,artylerzysci,70,artylerzysci,35,piechurzy,114,konnica,77,1
piechurzy,41,piechurzy,252,piechurzy,197,konnica,317,konnica,74,artylerzysci,104,0
konnica,82,artylerzysci,226,artylerzysci,20,piechurzy,280,piechurzy,346,konnica,152,0
artylerzysci,313,piechurzy,64,artylerzysci,19,konnica,28,artylerzysci,310,piechurzy,123,0
konnica,129,piechurzy,223,artylerzysci,102,artylerzysci,304,konnica,230,piechurzy,33,0
artylerzysci,41,artylerzysci,123,konnica,182,konnica,487,konnica,9,piechurzy,6,1
artylerzysci,146,piechurzy,187,konnica,30,konnica,231,piechurzy,138,piechurzy,30,0
konnica,173,artylerzysci,146,konnica,24,artylerzysci,3,artylerzysci,210,artylerzysci,106,1
artylerzysci,292,konnica,79,artylerzysci,23,artylerzysci,110,piechurzy,315,piechurzy,11,1
konnica,340,konnica,8,artylerzysci,1,artylerzysci,310,konnica,127,artylerzysci,134,1
piechurzy,88,konnica,231,konnica,47,konnica,81,piechurzy,138,konnica,96,1
piechurzy,301,artylerzysci,46,artylerzysci,154,artylerzysci,181,piechurzy,259,artylerzysci,155,0
piechurzy,8,konnica,79,konnica,217,konnica,297,piechurzy,132,konnica,122,0
konnica,30,artylerzysci,81,konnica,249,piechurzy,341,artylerzysci,55,konnica,57,1
konnica,48,konnica,101,konnica,52,artylerzysci,411,piechurzy,189,piechurzy,29,0
piechurzy,3,artylerzysci,280,piechurzy,119,artylerzysci,349,konnica,175,piechurzy,40,0
konnica,64,artylerzysci,66,konnica,218,konnica,226,artylerzysci,16,piechurzy,131,1
artylerzysci,167,konnica,113,artylerzysci,107,konnica,391,piechurzy,54,piechurzy,26,0
piechurzy,230,piechurzy,218,piechurzy,59,piechurzy,73,konnica,110,konnica,325,0
konnica,28,piechurzy,247,artylerzysci,2,piechurzy,110,piechurzy,64,piechurzy,343,0
konnica,117,artylerzysci,155,artylerzysci,77,konnica,447,piechurzy,38,artylerzysci,5,0
artylerzysci,50,artylerzysci,121,piechurzy,42,artylerzysci,282,artylerzysci,131,artylerzysci,116,0
artylerzysci,142,piechurzy,194,artylerzysci,118,artylerzysci,322,piechurzy,95,piechurzy,194,0
piechurzy,269,artylerzysci,41,piechurzy,162,artylerzysci,473,piechurzy,65,artylerzysci,78,0
piechurzy,266,konnica,168,piechurzy,40,konnica,218,artylerzysci,261,piechurzy,80,0
piechurzy,220,artylerzysci,175,konnica,52,konnica,456,konnica,39,artylerzysci,7,0
piechurzy,144,piechurzy,243,konnica,60,konnica,113,konnica,269,artylerzysci,31,0
konnica,43,piechurzy,309,artylerzysci,135,piechurzy,314,piechurzy,265,piechurzy,129,1
konnica,103,konnica,226,konnica,23,konnica,455,artylerzysci,13,konnica,33,0
konnica,88,artylerzysci,180,artylerzysci,103,konnica,232,konnica,27,piechurzy,176,0
piechurzy,35,artylerzysci,204,artylerzysci,108,artylerzysci,301,piechurzy,213,konnica,68,0
artylerzysci,161,artylerzysci,180,piechurzy,53,konnica,356,konnica,88,artylerzysci,41,0
piechurzy,26,piechurzy,128,piechurzy,80,konnica,65,konnica,135,konnica,280,0
konnica,220,piechurzy,55,artylerzysci,99,konnica,386,piechurzy,25,artylerzysci,91,0
konnica,78,artylerzysci,222,artylerzysci,27,artylerzysci,35,artylerzysci,287,konnica,170,0
artylerzysci,102,konnica,188,piechurzy,78,konnica,415,piechurzy,17,piechurzy,30,0
konnica,293,konnica,6,artylerzysci,9,piechurzy,20,piechurzy,434,konnica,42,1
artylerzysci,230,piechurzy,87,artylerzysci,74,konnica,331,piechurzy,79,piechurzy,100,0
artylerzysci,147,piechurzy,46,piechurzy,57,artylerzysci,210,piechurzy,329,artylerzysci,164,0
artylerzysci,331,piechurzy,30,konnica,37,konnica,376,piechurzy,29,konnica,27,0
piechurzy,310,piechurzy,91,artylerzysci,52,konnica,245,artylerzysci,32,piechurzy,212,0
artylerzysci,339,artylerzysci,93,konnica,15,artylerzysci,104,piechurzy,370,artylerzysci,179,1
konnica,304,konnica,44,artylerzysci,1,artylerzysci,290,piechurzy,149,piechurzy,33,1
piechurzy,215,konnica,63,artylerzysci,85,konnica,404,piechurzy,12,artylerzysci,29,0
artylerzysci,27,piechurzy,86,artylerzysci,192,piechurzy,121,piechurzy,274,konnica,133,0
konnica,35,konnica,44,piechurzy,9,piechurzy,451,piechurzy,181,konnica,15,0
artylerzysci,350,konnica,43,artylerzysci,13,piechurzy,407,piechurzy,165,konnica,123,1
konnica,155,konnica,131,konnica,24,piechurzy,484,konnica,19,artylerzysci,187,0
piechurzy,114,piechurzy,58,konnica,61,piechurzy,208,konnica,227,piechurzy,112,0
piechurzy,346,piechurzy,174,konnica,33,artylerzysci,202,konnica,297,artylerzysci,9,0
artylerzysci,91,piechurzy,133,artylerzysci,2,konnica,170,konnica,107,artylerzysci,9,0
konnica,306,artylerzysci,10,konnica,1,konnica,472,piechurzy,23,artylerzysci,17,0
konnica,289,artylerzysci,15,konnica,14,artylerzysci,75,konnica,134,konnica,138,1
konnica,290,piechurzy,19,konnica,40,konnica,136,konnica,120,piechurzy,207,1
piechurzy,7,konnica,180,artylerzysci,6,konnica,373,konnica,51,konnica,41,0
artylerzysci,12,konnica,233,piechurzy,23,artylerzysci,454,konnica,54,artylerzysci,15,0
piechurzy,73,piechurzy,145,artylerzysci,221,artylerzysci,480,artylerzysci,46,konnica,81,0
piechurzy,195,piechurzy,30,konnica,184,konnica,334,piechurzy,129,piechurzy,98,0
piechurzy,125,konnica,8,artylerzysci,10,artylerzysci,382,artylerzysci,104,artylerzysci,124,0
konnica,141,konnica,69,artylerzysci,37,piechurzy,395,artylerzysci,255,konnica,61,0
konnica,232,konnica,105,piechurzy,9,piechurzy,370,artylerzysci,111,piechurzy,58,1
artylerzysci,154,piechurzy,220,konnica,40,piechurzy,331,artylerzysci,98,piechurzy,19,1
konnica,87,konnica,243,piechurzy,16,konnica,86,artylerzysci,406,konnica,82,0
artylerzysci,145,piechurzy,234,artylerzysci,11,piechurzy,227,artylerzysci,96,konnica,213,0
piechurzy,248,konnica,180,konnica,10,konnica,220,artylerzysci,97,artylerzysci,187,0
konnica,327,artylerzysci,24,artylerzysci,2,konnica,418,artylerzysci,52,piechurzy,33,0
piechurzy,4,konnica,148,konnica,191,artylerzysci,324,konnica,231,konnica,19,0
konnica,251,piechurzy,89,artylerzysci,19,piechurzy,468,artylerzysci,190,piechurzy,46,0
piechurzy,200,piechurzy,247,piechurzy,15,piechurzy,40,piechurzy,385,piechurzy,55,1
piechurzy,299,piechurzy,99,piechurzy,126,artylerzysci,30,artylerzysci,195,artylerzysci,126,0
piechurzy,212,piechurzy,83,piechurzy,32,artylerzysci,137,konnica,347,konnica,26,0
piechurzy,226,konnica,223,konnica,15,artylerzysci,29,artylerzysci,459,konnica,55,0
konnica,228,konnica,117,konnica,3,piechurzy,255,konnica,107,konnica,264,0
artylerzysci,304,konnica,93,artylerzysci,30,piechurzy,473,piechurzy,21,konnica,217,0
artylerzysci,271,artylerzysci,51,konnica,95,piechurzy,201,piechurzy,380,piechurzy,100,1
piechurzy,192,artylerzysci,166,piechurzy,29,piechurzy,417,piechurzy,179,artylerzysci,88,0
piechurzy,17,artylerzysci,62,piechurzy,115,piechurzy,279,artylerzysci,158,piechurzy,3,0
artylerzysci,296,piechurzy,117,piechurzy,70,artylerzysci,38,artylerzysci,443,piechurzy,24,0
piechurzy,42,piechurzy,180,artylerzysci,52,piechurzy,382,piechurzy,179,konnica,185,0
artylerzysci,49,piechurzy,293,piechurzy,119,artylerzysci,165,artylerzysci,370,piechurzy,20,0
piechurzy,222,piechurzy,210,artylerzysci,21,konnica,84,konnica,168,artylerzysci,148,0
piechurzy,351,konnica,18,konnica,15,artylerzysci,408,konnica,17,artylerzysci,124,0
piechurzy,185,piechurzy,21,artylerzysci,166,konnica,467,konnica,14,artylerzysci,7,0
konnica,103,artylerzysci,160,konnica,86,konnica,393,piechurzy,38,piechurzy,62,0
konnica,90,piechurzy,260,artylerzysci,92,artylerzysci,85,artylerzysci,224,konnica,156,0
konnica,80,konnica,33,piechurzy,181,artylerzysci,9,piechurzy,364,piechurzy,38,1
piechurzy,44,artylerzysci,245,konnica,87,konnica,283,konnica,166,konnica,17,0
piechurzy,152,artylerzysci,224,artylerzysci,38,artylerzysci,101,artylerzysci,332,konnica,176,0
konnica,247,artylerzysci,57,konnica,45,konnica,33,artylerzysci,351,piechurzy,144,1
konnica,218,piechurzy,125,konnica,49,artylerzysci,341,artylerzysci,88,konnica,10,1
piechurzy,11,piechurzy,145,konnica,48,piechurzy,292,konnica,222,piechurzy,74,0
konnica,133,artylerzysci,22,artylerzysci,130,artylerzysci,232,piechurzy,120,piechurzy,163,1
konnica,182,konnica,123,piechurzy,17,konnica,270,piechurzy,123,piechurzy,28,0
artylerzysci,131,konnica,119,konnica,129,piechurzy,32,piechurzy,326,piechurzy,162,1
artylerzysci,132,artylerzysci,144,artylerzysci,128,artylerzysci,271,piechurzy,69,artylerzysci,71,1
konnica,336,piechurzy,13,artylerzysci,3,konnica,222,artylerzysci,181,piechurzy,12,0
piechurzy,12,artylerzysci,228,artylerzysci,43,artylerzysci,7,konnica,223,artylerzysci,197,0
konnica,157,konnica,31,piechurzy,95,piechurzy,304,piechurzy,138,piechurzy,57,0
piechurzy,135,konnica,129,piechurzy,87,konnica,261,konnica,91,artylerzysci,51,0
artylerzysci,265,piechurzy,59,konnica,39,konnica,189,piechurzy,43,piechurzy,67,1
artylerzysci,235,konnica,58,piechurzy,111,piechurzy,330,piechurzy,196,piechurzy,1,1
konnica,78,artylerzysci,231,konnica,4,piechurzy,12,piechurzy,387,artylerzysci,2,1
artylerzysci,270,konnica,116,konnica,24,piechurzy,358,piechurzy,57,artylerzysci,228,1
konnica,110,artylerzysci,199,artylerzysci,22,konnica,58,artylerzysci,4,artylerzysci,228,1
konnica,89,piechurzy,152,piechurzy,88,artylerzysci,124,konnica,358,konnica,2,0
konnica,320,artylerzysci,14,konnica,12,konnica,335,konnica,105,piechurzy,29,0
konnica,179,piechurzy,133,konnica,106,konnica,130,piechurzy,250,artylerzysci,30,1
artylerzysci,270,piechurzy,24,piechurzy,115,konnica,65,artylerzysci,273,konnica,46,0
artylerzysci,174,konnica,88,artylerzysci,83,artylerzysci,378,artylerzysci,66,konnica,14,0
konnica,47,konnica,89,artylerzysci,164,artylerzysci,31,konnica,326,piechurzy,47,1
piechurzy,180,konnica,202,piechurzy,39,artylerzysci,63,piechurzy,58,konnica,420,0
piechurzy,139,piechurzy,252,konnica,78,konnica,370,artylerzysci,38,konnica,25,0
piechurzy,199,konnica,223,konnica,5,konnica,33,konnica,20,artylerzysci,195,1
konnica,158,artylerzysci,144,konnica,71,artylerzysci,470,piechurzy,44,konnica,7,0
konnica,199,piechurzy,125,piechurzy,40,piechurzy,20,konnica,265,konnica,179,1
piechurzy,67,piechurzy,169,piechurzy,54,artylerzysci,372,artylerzysci,140,artylerzysci,100,0
artylerzysci,171,artylerzysci,56,konnica,177,piechurzy,167,artylerzysci,361,artylerzysci,111,1
artylerzysci,73,konnica,145,konnica,110,piechurzy,15,piechurzy,104,piechurzy,125,1
konnica,94,artylerzysci,158,artylerzysci,22,konnica,203,artylerzysci,124,piechurzy,25,0
piechurzy,80,piechurzy,104,artylerzysci,124,konnica,229,piechurzy,107,piechurzy,106,0
piechurzy,127,konnica,230,piechurzy,46,artylerzysci,355,artylerzysci,105,konnica,106,0
konnica,194,artylerzysci,56,artylerzysci,15,konnica,448,artylerzysci,48,artylerzysci,2,0
artylerzysci,260,konnica,17,piechurzy,117,konnica,155,artylerzysci,292,konnica,115,0
konnica,178,piechurzy,14,artylerzysci,66,konnica,196,artylerzysci,2,artylerzysci,182,0
piechurzy,123,piechurzy,175,artylerzysci,44,artylerzysci,95,konnica,318,piechurzy,89,0
artylerzysci,235,konnica,93,piechurzy,3,artylerzysci,441,konnica,78,konnica,38,0
artylerzysci,209,artylerzysci,190,artylerzysci,18,artylerzysci,327,konnica,120,artylerzysci,134,0
artylerzysci,317,konnica,64,artylerzysci,12,artylerzysci,487,piechurzy,88,konnica,66,0
piechurzy,107,konnica,187,artylerzysci,77,artylerzysci,2,artylerzysci,208,konnica,67,1
artylerzysci,339,konnica,83,artylerzysci,6,artylerzysci,133,konnica,397,artylerzysci,3,0
artylerzysci,274,piechurzy,54,konnica,82,piechurzy,262,piechurzy,150,artylerzysci,182,1
artylerzysci,155,piechurzy,23,piechurzy,39,piechurzy,464,konnica,138,konnica,112,0
konnica,341,artylerzysci,2,artylerzysci,4,artylerzysci,365,piechurzy,57,piechurzy,81,1
artylerzysci,85,konnica,88,artylerzysci,196,konnica,261,konnica,95,artylerzysci,107,0
konnica,118,konnica,132,konnica,14,piechurzy,222,piechurzy,65,artylerzysci,72,1
konnica,167,artylerzysci,173,artylerzysci,54,artylerzysci,353,artylerzysci,16,artylerzysci,214,0
artylerzysci,19,konnica,251,piechurzy,11,piechurzy,420,artylerzysci,237,konnica,95,0
konnica,210,konnica,18,piechurzy,50,piechurzy,478,piechurzy,66,artylerzysci,166,0
piechurzy,226,piechurzy,15,piechurzy,155,konnica,483,artylerzysci,14,piechurzy,1,0
konnica,269,piechurzy,20,konnica,23,piechurzy,345,artylerzysci,146,artylerzysci,73,1
konnica,233,artylerzysci,21,artylerzysci,36,konnica,210,konnica,169,piechurzy,53,0
konnica,20,konnica,206,konnica,64,piechurzy,306,konnica,36,piechurzy,281,0
konnica,77,konnica,232,piechurzy,20,piechurzy,211,artylerzysci,14,piechurzy,184,1
artylerzysci,334,konnica,83,piechurzy,4,piechurzy,241,artylerzysci,288,konnica,98,1
konnica,232,piechurzy,92,konnica,52,piechurzy,13,artylerzysci,288,piechurzy,115,1
artylerzysci,224,piechurzy,46,konnica,132,artylerzysci,334,artylerzysci,182,artylerzysci,112,0
konnica,319,piechurzy,26,konnica,12,piechurzy,105,konnica,364,konnica,50,1
piechurzy,280,artylerzysci,150,konnica,37,piechurzy,474,piechurzy,251,artylerzysci,22,0
artylerzysci,76,piechurzy,111,konnica,49,konnica,193,konnica,41,piechurzy,218,0
piechurzy,200,konnica,20,piechurzy,186,konnica,34,konnica,303,piechurzy,61,0
piechurzy,154,piechurzy,68,piechurzy,18,artylerzysci,109,konnica,417,artylerzysci,3,0
piechurzy,347,konnica,143,artylerzysci,7,piechurzy,12,artylerzysci,476,konnica,129,0
konnica,150,konnica,75,piechurzy,29,piechurzy,133,piechurzy,253,artylerzysci,114,1
konnica,169,konnica,4,konnica,89,piechurzy,95,artylerzysci,323,piechurzy,174,1
piechurzy,322,artylerzysci,100,konnica,108,artylerzysci,368,konnica,214,artylerzysci,4,0
konnica,294,artylerzysci,12,piechurzy,9,artylerzysci,93,konnica,218,konnica,109,1
piechurzy,313,piechurzy,99,artylerzysci,140,piechurzy,81,konnica,434,artylerzysci,24,0
konnica,225,konnica,23,artylerzysci,88,konnica,126,konnica,236,konnica,115,0
piechurzy,83,piechurzy,52,artylerzysci,9,piechurzy,392,piechurzy,134,konnica,134,0
piechurzy,36,piechurzy,146,piechurzy,177,artylerzysci,390,piechurzy,137,konnica,128,0
artylerzysci,92,piechurzy,115,konnica,36,konnica,417,piechurzy,6,artylerzysci,55,0
artylerzysci,55,konnica,44,artylerzysci,184,piechurzy,157,piechurzy,221,artylerzysci,227,0
piechurzy,250,konnica,9,konnica,129,artylerzysci,120,artylerzysci,204,artylerzysci,95,0
konnica,262,konnica,61,artylerzysci,28,piechurzy,487,piechurzy,244,konnica,49,0
piechurzy,97,piechurzy,99,artylerzysci,154,artylerzysci,268,piechurzy,297,piechurzy,114,0
konnica,16,artylerzysci,237,piechurzy,54,konnica,255,artylerzysci,55,konnica,150,0
artylerzysci,61,konnica,256,artylerzysci,7,konnica,185,artylerzysci,168,konnica,176,0
piechurzy,285,konnica,175,piechurzy,20,piechurzy,493,artylerzysci,160,piechurzy,70,0
artylerzysci,141,artylerzysci,170,artylerzysci,49,piechurzy,70,artylerzysci,17,piechurzy,196,1
piechurzy,77,konnica,181,artylerzysci,40,konnica,215,piechurzy,188,konnica,16,0
piechurzy,288,konnica,157,artylerzysci,33,artylerzysci,70,artylerzysci,207,artylerzysci,223,0
konnica,4,piechurzy,173,konnica,126,piechurzy,42,konnica,417,piechurzy,24,0
piechurzy,122,piechurzy,81,artylerzysci,44,piechurzy,22,konnica,112,piechurzy,27,1
artylerzysci,349,artylerzysci,29,artylerzysci,54,artylerzysci,209,konnica,194,artylerzysci,19,0
artylerzysci,76,piechurzy,35,konnica,95,konnica,443,artylerzysci,16,artylerzysci,3,0
piechurzy,93,konnica,291,konnica,14,piechurzy,375,artylerzysci,207,piechurzy,82,1
piechurzy,30,piechurzy,225,konnica,3,artylerzysci,290,artylerzysci,65,artylerzysci,145,0
piechurzy,88,piechurzy,113,konnica,138,konnica,219,konnica,108,artylerzysci,113,0
piechurzy,133,artylerzysci,240,artylerzysci,11,konnica,12,piechurzy,103,konnica,299,0
konnica,66,artylerzysci,71,konnica,209,artylerzysci,148,artylerzysci,75,artylerzysci,322,0
piechurzy,110,piechurzy,20,konnica,123,artylerzysci,78,konnica,330,artylerzysci,70,0
piechurzy,9,konnica,57,artylerzysci,160,konnica,186,artylerzysci,244,piechurzy,43,0
piechurzy,341,konnica,20,artylerzysci,119,artylerzysci,290,piechurzy,99,artylerzysci,210,0
piechurzy,50,konnica,143,piechurzy,50,artylerzysci,298,konnica,119,artylerzysci,102,0
konnica,103,artylerzysci,42,piechurzy,53,konnica,478,piechurzy,3,konnica,14,0
piechurzy,192,konnica,134,artylerzysci,66,artylerzysci,76,piechurzy,311,piechurzy,102,1
konnica,213,artylerzysci,10,artylerzysci,73,artylerzysci,471,artylerzysci,110,piechurzy,35,0
artylerzysci,170,artylerzysci,51,piechurzy,89,piechurzy,125,artylerzysci,252,piechurzy,176,1
artylerzysci,35,konnica,71,konnica,190,konnica,230,piechurzy,141,artylerzysci,64,1
konnica,59,piechurzy,126,piechurzy,136,artylerzysci,261,piechurzy,164,piechurzy,161,0
piechurzy,229,piechurzy,198,piechurzy,49,piechurzy,89,artylerzysci,220,piechurzy,68,0
konnica,67,piechurzy,224,piechurzy,169,artylerzysci,208,konnica,278,konnica,4,0
piechurzy,228,artylerzysci,196,piechurzy,78,piechurzy,419,konnica,202,konnica,88,0
artylerzysci,20,piechurzy,61,piechurzy,132,artylerzysci,43,artylerzysci,397,piechurzy,95,0
piechurzy,198,artylerzysci,121,konnica,50,konnica,286,konnica,23,artylerzysci,145,0
konnica,97,artylerzysci,236,piechurzy,47,piechurzy,469,konnica,231,piechurzy,27,0
artylerzysci,133,artylerzysci,123,artylerzysci,114,artylerzysci,130,artylerzysci,105,konnica,312,0
artylerzysci,310,artylerzysci,47,konnica,8,konnica,244,artylerzysci,94,artylerzysci,134,0
artylerzysci,310,artylerzysci,109,konnica,9,artylerzysci,312,piechurzy,7,konnica,138,0
artylerzysci,109,artylerzysci,39,artylerzysci,207,artylerzysci,501,artylerzysci,3,artylerzysci,6,0
piechurzy,73,piechurzy,52,konnica,55,artylerzysci,372,konnica,141,artylerzysci,28,0
artylerzysci,259,konnica,57,konnica,14,artylerzysci,21,artylerzysci,403,konnica,82,0
konnica,349,konnica,1,artylerzysci,1,piechurzy,198,konnica,96,piechurzy,3,1
artylerzysci,187,konnica,79,artylerzysci,54,piechurzy,357,artylerzysci,125,piechurzy,52,1
piechurzy,324,piechurzy,79,konnica,103,artylerzysci,6,konnica,390,piechurzy,22,0
artylerzysci,141,piechurzy,228,artylerzysci,18,artylerzysci,111,artylerzysci,174,konnica,84,0
artylerzysci,65,artylerzysci,274,artylerzysci,54,konnica,370,konnica,83,piechurzy,6,0
piechurzy,210,piechurzy,6,konnica,143,artylerzysci,146,konnica,198,artylerzysci,61,0
piechurzy,255,konnica,93,piechurzy,51,piechurzy,79,konnica,11,konnica,293,0
artylerzysci,271,piechurzy,110,konnica,27,artylerzysci,425,artylerzysci,62,piechurzy,89,0
piechurzy,48,piechurzy,225,konnica,4,artylerzysci,330,piechurzy,31,konnica,129,0
piechurzy,127,konnica,87,piechurzy,158,konnica,134,piechurzy,307,konnica,36,0
konnica,10,konnica,100,artylerzysci,150,piechurzy,245,artylerzysci,16,konnica,355,0
artylerzysci,134,artylerzysci,183,artylerzysci,90,artylerzysci,188,artylerzysci,358,artylerzysci,12,0
piechurzy,44,konnica,232,artylerzysci,3,artylerzysci,29,piechurzy,83,konnica,137,1
konnica,106,artylerzysci,195,artylerzysci,30,piechurzy,365,konnica,125,artylerzysci,134,0
artylerzysci,285,konnica,69,piechurzy,12,piechurzy,8,piechurzy,456,konnica,7,1
piechurzy,119,piechurzy,186,piechurzy,152,artylerzysci,293,konnica,102,piechurzy,116,0
konnica,287,piechurzy,15,konnica,23,piechurzy,438,piechurzy,33,artylerzysci,93,1
konnica,54,artylerzysci,64,piechurzy,99,konnica,243,artylerzysci,174,artylerzysci,7,0
piechurzy,28,artylerzysci,334,konnica,11,artylerzysci,261,konnica,189,artylerzysci,29,0
piechurzy,335,artylerzysci,129,artylerzysci,38,artylerzysci,375,piechurzy,212,konnica,98,0
artylerzysci,140,artylerzysci,156,konnica,56,konnica,459,artylerzysci,23,piechurzy,4,0
artylerzysci,129,piechurzy,194,piechurzy,101,piechurzy,212,artylerzysci,245,artylerzysci,41,0
artylerzysci,45,artylerzysci,215,piechurzy,116,piechurzy,302,piechurzy,147,artylerzysci,180,0
artylerzysci,261,artylerzysci,125,artylerzysci,13,piechurzy,32,piechurzy,261,konnica,270,1
piechurzy,122,piechurzy,132,piechurzy,48,piechurzy,431,artylerzysci,48,piechurzy,185,0
konnica,67,piechurzy,112,artylerzysci,104,artylerzysci,402,artylerzysci,4,artylerzysci,114,0
piechurzy,172,konnica,61,artylerzysci,84,piechurzy,34,artylerzysci,34,artylerzysci,265,0
piechurzy,220,artylerzysci,103,konnica,54,konnica,32,artylerzysci,324,konnica,47,0
piechurzy,261,piechurzy,179,konnica,127,konnica,435,artylerzysci,6,artylerzysci,15,0
piechurzy,85,konnica,1,artylerzysci,140,piechurzy,286,piechurzy,251,artylerzysci,156,0
piechurzy,84,artylerzysci,268,artylerzysci,47,konnica,287,artylerzysci,34,artylerzysci,167,0
artylerzysci,237,artylerzysci,60,konnica,56,piechurzy,95,artylerzysci,172,konnica,254,0
konnica,271,artylerzysci,40,artylerzysci,8,konnica,427,konnica,47,artylerzysci,3,0
konnica,164,konnica,174,artylerzysci,9,konnica,70,konnica,392,piechurzy,28,0
artylerzysci,177,konnica,10,piechurzy,11,piechurzy,29,artylerzysci,376,konnica,105,0
piechurzy,108,konnica,222,artylerzysci,28,piechurzy,273,konnica,177,konnica,124,0
artylerzysci,129,konnica,167,piechurzy,82,piechurzy,271,konnica,361,artylerzysci,2,0
konnica,97,konnica,161,artylerzysci,73,konnica,189,artylerzysci,247,konnica,91,0
piechurzy,29,piechurzy,294,konnica,71,piechurzy,454,piechurzy,187,konnica,109,0
konnica,338,konnica,14,piechurzy,2,konnica,223,artylerzysci,64,piechurzy,28,1
artylerzysci,214,piechurzy,45,artylerzysci,43,artylerzysci,263,piechurzy,278,konnica,4,0
piechurzy,216,piechurzy,240,artylerzysci,93,artylerzysci,162,piechurzy,359,piechurzy,73,1
piechurzy,86,artylerzysci,268,konnica,51,artylerzysci,485,artylerzysci,76,artylerzysci,57,0
konnica,172,artylerzysci,7,artylerzysci,44,piechurzy,460,konnica,105,konnica,161,0
artylerzysci,111,konnica,207,artylerzysci,61,piechurzy,114,piechurzy,313,artylerzysci,141,1
piechurzy,103,piechurzy,56,konnica,241,piechurzy,249,artylerzysci,24,konnica,151,1
piechurzy,222,artylerzysci,219,artylerzysci,30,piechurzy,52,piechurzy,34,artylerzysci,332,0
konnica,186,artylerzysci,38,artylerzysci,111,artylerzysci,391,piechurzy,9,artylerzysci,160,0
piechurzy,137,piechurzy,181,piechurzy,89,konnica,1,konnica,184,konnica,61,0
artylerzysci,17,piechurzy,315,artylerzysci,118,artylerzysci,139,konnica,131,konnica,134,0
artylerzysci,233,artylerzysci,66,piechurzy,56,konnica,217,artylerzysci,224,artylerzysci,72,0
